-1.1561,-3.8504,0.4775
-1.1058,-3.8765,0.5007
-1.0496,-3.9087,0.4979
-0.9935,-3.9375,0.4758
-0.9445,-3.9629,0.467
-0.8950,-3.9872,0.4538
-0.8530,-4.0075,0.5287
-0.8151,-4.0338,0.5687
-0.7769,-4.0561,0.5597
-0.7459,-4.0772,0.5986
-0.7048,-4.1053,0.5941
-0.6634,-4.1330,0.6193
-0.6149,-4.1694,0.615
-0.5661,-4.2017,0.6142
-0.5248,-4.2329,0.6419
-0.4834,-4.2635,0.6584
-0.4418,-4.2972,0.6664
-0.3993,-4.3296,0.675
-0.3499,-4.3707,0.6658
-0.3000,-4.4076,0.6671
-0.2575,-4.4435,0.6891
-0.2077,-4.4837,0.6805
-0.1647,-4.5186,0.7122
-0.1221,-4.5575,0.7285
-0.0723,-4.6010,0.7126
-0.0220,-4.6440,0.7061
0.0284,-4.6869,0.7138
0.0715,-4.7250,0.7433
0.1147,-4.7662,0.7451
0.1657,-4.8119,0.7101
0.2124,-4.8502,0.7085
0.2555,-4.8889,0.7486
0.3032,-4.9345,0.7755
0.3436,-4.9753,0.8087
0.3841,-5.0193,0.8151
0.4315,-5.0686,0.8042
0.4789,-5.1178,0.7903
0.5221,-5.1600,0.798
0.5614,-5.2024,0.8274
0.6059,-5.2512,0.8202
0.6461,-5.2932,0.8289
0.6829,-5.3352,0.861
0.7241,-5.3840,0.8755
0.7648,-5.4333,0.8812
0.8002,-5.4763,0.9024
0.8378,-5.5258,0.9074
0.8830,-5.5822,0.8956
0.9230,-5.6322,0.8961
0.9630,-5.6822,0.876
1.0100,-5.7366,0.8463
1.0568,-5.7882,0.8296
1.1038,-5.8391,0.8212
1.1552,-5.8939,0.8018
1.2100,-5.9489,0.7224
1.2714,-5.9963,0.6546
1.3371,-6.0464,0.6463
1.3954,-6.0899,0.6264
1.4490,-6.1274,0.5545
1.5140,-6.1633,0.5275
1.5732,-6.1997,0.5544
1.6342,-6.2378,0.4876
1.7022,-6.2682,0.3965
1.7706,-6.2948,0.3609
1.8277,-6.3155,0.3467
1.8772,-6.3333,0.3285
1.9388,-6.3534,0.2944
2.0002,-6.3706,0.2739
2.0615,-6.3879,0.2033
2.1351,-6.3985,0.105
2.1963,-6.4021,0.096
2.2463,-6.4092,0.1563
2.3070,-6.4195,0.1369
2.3680,-6.4259,0.0983
2.4180,-6.4305,0.0791
2.4903,-6.4356,0.0097
2.5627,-6.4319,0.0577
2.6127,-6.4286,0.0644
2.6627,-6.4254,0.0489
2.7352,-6.4226,0.1031
2.8080,-6.4104,0.1933
2.8580,-6.3985,0.2277
2.9080,-6.3872,0.217
2.9697,-6.3739,0.2453
3.0191,-6.3594,0.2331
3.0695,-6.3502,0.224
3.1306,-6.3340,0.2545
3.1919,-6.3184,0.3024
3.2593,-6.2939,0.3617
3.3201,-6.2699,0.3855
3.3697,-6.2491,0.3902
3.4196,-6.2289,0.3714
3.4806,-6.2059,0.3983
3.5481,-6.1749,0.4712
3.6043,-6.1429,0.5093
3.6608,-6.1119,0.5078
3.7278,-6.0741,0.5377
3.7945,-6.0322,0.6112
3.8495,-5.9888,0.6616
3.9049,-5.9462,0.6892
3.9649,-5.8938,0.7277
4.0216,-5.8423,0.745
4.0740,-5.7932,0.7654
4.1247,-5.7432,0.8196
4.1812,-5.6784,0.8616
4.2307,-5.6197,0.8629
4.2810,-5.5617,0.9192
4.3299,-5.4897,1.0133
4.3680,-5.4222,1.0613
4.3999,-5.3644,1.0584
4.4328,-5.3071,1.0902
4.4647,-5.2401,1.1465
4.4932,-5.1734,1.189
